Internal ID,External ID,Source
rxn00543,ADH4,BiGG
rxn00543,ADH5,BiGG
rxn00543,ALCD1,BiGG
rxn00543,ALCD2if,BiGG
rxn00543,ALCD2ir,BiGG
rxn00543,ALCD2irm,BiGG
rxn00543,ALCD2m,BiGG
rxn00543,ALCD2x,BiGG
rxn00543,SFA1_2,BiGG
rxn00545,PFK,BiGG
rxn00545,PFK1_1,BiGG
rxn00545,PFK2,BiGG
rxn00546,M1PD,BiGG
rxn00547,HEX7,BiGG
rxn00547,HXK1_4,BiGG
rxn00547,HXK2_4,BiGG
rxn00549,FBP,BiGG
rxn00549,FBP1,BiGG
rxn00550,FBP26,BiGG
rxn00552,G6PDA,BiGG
rxn00555,GF6PTA,BiGG
rxn00555,GF6PTAr,BiGG
rxn00555,GFA1,BiGG
rxn00558,PGI,BiGG
rxn00558,PGI1_1,BiGG
rxn00559,MAN6PI,BiGG
rxn00559,PMI40,BiGG
rxn00560,UREASE,BiGG
rxn00566,CYSDS,BiGG
rxn00566,TRPAS1,BiGG
rxn00567,NIR,BiGG
rxn00568,NTRIR2x,BiGG
rxn00569,NTRIR2y,BiGG
rxn00569,NTRIRy,BiGG
rxn00575,SUC2,BiGG
rxn00575,SUCH,BiGG
rxn00575,SUCR,BiGG
rxn00575,SUCRe,BiGG
rxn00582,ISOMS,BiGG
rxn00584,BZDIOLDH,BiGG
rxn00587,CAT23DOX,BiGG
rxn00588,CATA,BiGG
rxn00588,CATDOX,BiGG
rxn00598,3OXACOA,BiGG
rxn00598,3OXCOAT,BiGG
rxn00599,ALASm,BiGG
rxn00599,HEM1,BiGG
rxn00601,AST,BiGG
rxn00602,MMM,BiGG
rxn00602,MMM2,BiGG
rxn00604,G6PDH,BiGG
rxn00604,G6PDH2,BiGG
rxn00604,G6PDH2er,BiGG
rxn00604,G6PDH2r,BiGG
rxn00604,G6PDHy,BiGG
rxn00604,ZWF1,BiGG
rxn00605,TPS1,BiGG
rxn00605,TPS3,BiGG
rxn00605,TRE6PS,BiGG
rxn00605,TSL1,BiGG
rxn00606,TRE6PH,BiGG
rxn00607,MAL6PG,BiGG
rxn00608,PGGH,BiGG
rxn00609,MI1PS,BiGG
rxn00610,G3PT,BiGG
rxn00610,HOR2,BiGG
rxn00610,RHR2,BiGG
rxn00611,G3PD1,BiGG
rxn00611,G3PD1ir,BiGG
rxn00611,G3PD1irm,BiGG
rxn00611,GPD1,BiGG
rxn00611,GPD2,BiGG
rxn00612,G3PD2,BiGG
rxn00615,GLYK,BiGG
rxn00615,GLYKr,BiGG
rxn00615,GUT1,BiGG
rxn00616,G3PD,BiGG
rxn00616,G3PDm,BiGG
rxn00621,G3PCT,BiGG
rxn00623,ECM17,BiGG
rxn00623,MET10,BiGG
rxn00623,SULR,BiGG
rxn00623,SULRi,BiGG
rxn00624,CYSSADS,BiGG
rxn00629,MNLDH,BiGG
rxn00634,SBTD_D,BiGG
rxn00634,SBTD_D2,BiGG
rxn00634,SBTD_Dr,BiGG
rxn00634,SOR1,BiGG
rxn00638,ALGD,BiGG
rxn00639,GDPMNP,BiGG
rxn00640,MAN1PT2,BiGG
rxn00640,MAN1PT2_r,BiGG
rxn00640,MAN1PT2r,BiGG
rxn00641,MAN1PT,BiGG
rxn00641,PSA1,BiGG
rxn00642,GDPMD,BiGG
rxn00642,GMAND,BiGG
