#source,ID
bigg.reaction:R_GLCNACASE2ly,MNXR100190
bigg.reaction:GLCNACASE3ly,MNXR100191
bigg.reaction:R_GLCNACASE3ly,MNXR100191
bigg.reaction:GLCNACASE4ly,MNXR100192
bigg.reaction:R_GLCNACASE4ly,MNXR100192
bigg.reaction:GLCNACASE5ly,MNXR100193
bigg.reaction:R_GLCNACASE5ly,MNXR100193
bigg.reaction:GLCNACDASg,MNXR100194
bigg.reaction:R_GLCNACDASg,MNXR100194
bigg.reaction:GLCNACPT,MNXR100195
bigg.reaction:R_GLCNACPT,MNXR100195
bigg.reaction:GLCNACPT_cho,MNXR100198
bigg.reaction:R_GLCNACPT_cho,MNXR100198
bigg.reaction:GLCNACT1g,MNXR100200
bigg.reaction:R_GLCNACT1g,MNXR100200
bigg.reaction:GLCNACT1g_cho,MNXR100201
bigg.reaction:R_GLCNACT1g_cho,MNXR100201
bigg.reaction:GLCNACT2g,MNXR100202
bigg.reaction:R_GLCNACT2g,MNXR100202
bigg.reaction:GLCNACT3g,MNXR100203
bigg.reaction:R_GLCNACT3g,MNXR100203
bigg.reaction:GLCNACT4g,MNXR100204
bigg.reaction:R_GLCNACT4g,MNXR100204
bigg.reaction:GLCNACT5g,MNXR100205
bigg.reaction:R_GLCNACT5g,MNXR100205
bigg.reaction:GLCNt2ir,MNXR100209
bigg.reaction:GLCNt2r,MNXR100209
bigg.reaction:GLCNt2rpp,MNXR100209
bigg.reaction:R_GLCNt2ir,MNXR100209
bigg.reaction:R_GLCNt2r,MNXR100209
bigg.reaction:R_GLCNt2rpp,MNXR100209
bigg.reaction:EX_glcn__D_e,MNXR100210
bigg.reaction:EX_glcn_e,MNXR100210
bigg.reaction:GLCNte,MNXR100210
bigg.reaction:GLCNtex,MNXR100210
bigg.reaction:R_EX_glcn__D_e,MNXR100210
bigg.reaction:R_EX_glcn_e,MNXR100210
bigg.reaction:R_GLCNte,MNXR100210
bigg.reaction:R_GLCNtex,MNXR100210
bigg.reaction:GLCPcom_SA,MNXR100216
bigg.reaction:R_GLCPcom_SA,MNXR100216
bigg.reaction:GLCRAL,MNXR100219
bigg.reaction:GLCRAL_1,MNXR100219
bigg.reaction:R_GLCRAL,MNXR100219
bigg.reaction:R_GLCRAL_1,MNXR100219
bigg.reaction:GLCSGLT1le,MNXR100225
bigg.reaction:R_GLCSGLT1le,MNXR100225
bigg.reaction:GLCURS1,MNXR100232
bigg.reaction:R_GLCURS1,MNXR100232
bigg.reaction:GLCURT,MNXR100233
bigg.reaction:R_GLCURT,MNXR100233
bigg.reaction:GLCabc,MNXR100236
bigg.reaction:GLCabcpp,MNXR100236
bigg.reaction:R_GLCabc,MNXR100236
bigg.reaction:R_GLCabcpp,MNXR100236
bigg.reaction:GLCt2,MNXR100238
bigg.reaction:GLCt2pp,MNXR100238
bigg.reaction:R_GLCt2,MNXR100238
bigg.reaction:R_GLCt2pp,MNXR100238
bigg.reaction:GLCt2_2,MNXR100239
bigg.reaction:R_GLCt2_2,MNXR100239
bigg.reaction:GLCt4,MNXR100240
bigg.reaction:R_GLCt4,MNXR100240
bigg.reaction:GLCt4_2,MNXR100241
bigg.reaction:R_GLCt4_2,MNXR100241
bigg.reaction:GLDBRAN,MNXR100242
bigg.reaction:R_GLDBRAN,MNXR100242
bigg.reaction:GLMS_syn,MNXR100245
bigg.reaction:GLTS_h,MNXR100245
bigg.reaction:GLUS_ferr,MNXR100245
bigg.reaction:GLUSfx,MNXR100245
bigg.reaction:R_GLMS_syn,MNXR100245
bigg.reaction:R_GLTS_h,MNXR100245
bigg.reaction:R_GLUS_ferr,MNXR100245
bigg.reaction:R_GLUSfx,MNXR100245
bigg.reaction:GLNALANaEx,MNXR100246
bigg.reaction:R_GLNALANaEx,MNXR100246
bigg.reaction:GLNASNNaEx,MNXR100247
bigg.reaction:R_GLNASNNaEx,MNXR100247
bigg.reaction:GLNATB0tc,MNXR100248
bigg.reaction:R_GLNATB0tc,MNXR100248
bigg.reaction:GLNCYSNaEx,MNXR100249
bigg.reaction:R_GLNCYSNaEx,MNXR100249
bigg.reaction:GLNSERNaEx,MNXR100251
bigg.reaction:R_GLNSERNaEx,MNXR100251
bigg.reaction:GLNSP1,MNXR100252
bigg.reaction:R_GLNSP1,MNXR100252
bigg.reaction:GLNTHRNaEx,MNXR100255
bigg.reaction:R_GLNTHRNaEx,MNXR100255
bigg.reaction:GLNabc,MNXR100258
bigg.reaction:GLNabcpp,MNXR100258
bigg.reaction:R_GLNabc,MNXR100258
bigg.reaction:R_GLNabcpp,MNXR100258
bigg.reaction:EX_gln__L_e,MNXR100259
bigg.reaction:GLNt,MNXR100259
bigg.reaction:GLNtex,MNXR100259
bigg.reaction:GLNtm,MNXR100259
bigg.reaction:R_EX_gln__L_e,MNXR100259
bigg.reaction:R_GLNt,MNXR100259
bigg.reaction:R_GLNtex,MNXR100259
bigg.reaction:R_GLNtm,MNXR100259
bigg.reaction:R_SK_gln__L_c,MNXR100259
bigg.reaction:SK_gln__L_c,MNXR100259
bigg.reaction:GLNt2n,MNXR100260
bigg.reaction:GLNt2r,MNXR100260
bigg.reaction:GLNt7,MNXR100260
bigg.reaction:GLNth,MNXR100260
bigg.reaction:GLNtm_1,MNXR100260
bigg.reaction:R_GLNt2n,MNXR100260
bigg.reaction:R_GLNt2r,MNXR100260
bigg.reaction:R_GLNt7,MNXR100260
bigg.reaction:R_GLNth,MNXR100260
bigg.reaction:R_GLNtm_1,MNXR100260
bigg.reaction:GLNt4,MNXR100261
bigg.reaction:R_GLNt4,MNXR100261
bigg.reaction:GLNt6,MNXR100262
bigg.reaction:R_GLNt6,MNXR100262
bigg.reaction:GLNtN1,MNXR100263
bigg.reaction:R_GLNtN1,MNXR100263
bigg.reaction:GLNyLATthc,MNXR100264
bigg.reaction:R_GLNyLATthc,MNXR100264
bigg.reaction:GLPASE1,MNXR100265
bigg.reaction:R_GLPASE1,MNXR100265
bigg.reaction:GLPASE2,MNXR100266
bigg.reaction:R_GLPASE2,MNXR100266
bigg.reaction:GLPASE2a,MNXR100267
bigg.reaction:R_GLPASE2a,MNXR100267
bigg.reaction:GLS,MNXR100270
bigg.reaction:R_GLS,MNXR100270
bigg.reaction:GLS2,MNXR100271
bigg.reaction:R_GLS2,MNXR100271
bigg.reaction:GLS2e,MNXR100272
bigg.reaction:R_GLS2e,MNXR100272
bigg.reaction:GLS3e,MNXR100273
bigg.reaction:R_GLS3e,MNXR100273
bigg.reaction:GLSe,MNXR100274
bigg.reaction:R_GLSe,MNXR100274
bigg.reaction:GLU4ABUTthi,MNXR100276
bigg.reaction:GLU4ABUTtmi,MNXR100276
bigg.reaction:GLUABUTt7,MNXR100276
bigg.reaction:GLUABUTt7pp,MNXR100276
bigg.reaction:R_GLU4ABUTthi,MNXR100276
bigg.reaction:R_GLU4ABUTtmi,MNXR100276
bigg.reaction:R_GLUABUTt7,MNXR100276
bigg.reaction:R_GLUABUTt7pp,MNXR100276
bigg.reaction:GLU5K,MNXR100277
bigg.reaction:GLU5Km,MNXR100277
bigg.reaction:R_GLU5K,MNXR100277
bigg.reaction:R_GLU5Km,MNXR100277
bigg.reaction:DM_glu5sa_m,MNXR100278
bigg.reaction:GLU5SAtmc,MNXR100278
bigg.reaction:R_DM_glu5sa_m,MNXR100278
